IDS,Unnamed: 0_x,1_x,0_x,0.1_x,1.1_x,1.2_x,1.3_x,0.2_x,1.4_x,0.3_x,1.5_x,0.4_x,0.5_x,1.6_x,1.7_x,0.6_x,1.8_x,1.9_x,1.1.1_x,1.11_x,0.7_x,0.8_x,1.12_x,0.9_x,1.13_x,1.14_x,1.15_x,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32_x,Unnamed: 33_x,Unnamed: 34_x,Unnamed: 35_x,Unnamed: 36_x,Unnamed: 37_x,Unnamed: 38_x,Unnamed: 39_x,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 0_y,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,1_y,0_y,0.1_y,1.1_y,1.2_y,1.3_y,0.2_y,1.4_y,0.3_y,1.5_y,0.4_y,0.5_y,1.6_y,1.7_y,0.6_y,1.8_y,1.9_y,1.1.1_y,1.11_y,0.7_y,0.8_y,1.12_y,0.9_y,1.13_y,1.14_y,1.15_y,Unnamed: 32_y,Unnamed: 33_y,Unnamed: 34_y,Unnamed: 35_y,Unnamed: 36_y,Unnamed: 37_y,Unnamed: 38_y,Unnamed: 39_y
559bbbdafdf99b7ce19d5b3d,01/03/2023 14:55:51,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,Quite likely,Quite likely,Quite likely,Extremely likely,Extremely likely,Quite likely,Slightly likely,Slightly likely,Slightly likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,"How you could link different topics and have them organized in front of you by category of topics, papers, people ","It was often hard to drill down to specific topics, and was too general",,01/03/2023 14:44:57,I confirm,No knowledge,Native speaker,Multiple times a day,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,I confirm,I confirm,I confirm,I searched my user ID number AND I am ready to use the platform.,Read the instructions FIRST,Submit this form,Go to Semantic Chapter and try to find what you were asked before,"Click the ""Get started"" in the next survey once I finish my searches"
55a9f6a1fdf99b2d81b5295f,01/03/2023 15:57:23,1,0,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,Slightly likely,Quite likely,Quite likely,Quite likely,Quite likely,Extremely likely,Slightly likely,Slightly likely,Quite likely,Quite likely,Quite likely,Slightly likely,Quite likely,Slightly likely,Quite likely,How completely indexed everything was with total access.,it was sometimes unclear what I could search for,I enjoy seeing new learning tools.,01/03/2023 15:27:39,I confirm,Bachelor education,Native speaker,Eveyday,1,0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,I confirm,I confirm,I confirm,I searched my user ID number AND I am ready to use the platform.,Read the instructions FIRST,Submit this form,Go to Semantic Chapter and try to find what you were asked before,"Click the ""Get started"" in the next survey once I finish my searches"
5780d9a1900cc80001d2d1c2,01/03/2023 14:21:10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,Slightly likely,Slightly likely,Neither likely or unlikely,Neither likely or unlikely,Quite likely,Slightly likely,Neither likely or unlikely,Slightly unlikely,Neither likely or unlikely,Slightly likely,Slightly unlikely,Slightly likely,Quite likely,Slightly likely,Quite likely,How it can do a wide search and give potential links,could do with predictive text,It would have been better to be able to access the first questionarre while using Semantic Chapter so that you would have the questions that needed to be researched,01/03/2023 14:07:54,I confirm,No knowledge,Native speaker,Multiple times a day,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,I confirm,I confirm,I confirm,I searched my user ID number AND I am ready to use the platform.,Read the instructions FIRST,Submit this form,Go to Semantic Chapter and try to find what you were asked before,"Click the ""Get started"" in the next survey once I finish my searches"
57aa0bdb9ff3e900014135d9,01/03/2023 14:38:28,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,1,0,Slightly unlikely,Slightly unlikely,Slightly unlikely,Slightly unlikely,Slightly unlikely,Quite likely,Extremely likely,Quite unlikely,Quite likely,Slightly unlikely,Slightly likely,Slightly likely,Neither likely or unlikely,Slightly unlikely,Slightly likely,I liked that you could search for multiple things and add them to the search easily.,I found the results didn't usually give the information I was looking for and it was very basic information.,None,01/03/2023 14:31:40,I confirm,Bachelor education,Native speaker,Multiple times a day,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,I confirm,I confirm,I confirm,I searched my user ID number AND I am ready to use the platform.,Read the instructions FIRST,Go to Semantic Chapter and try to find what you were asked before,Submit this form,"Click the ""Get started"" in the next survey once I finish my searches"
59f6fb1cda08940001d4e8e5,01/03/2023 11:46:39,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,Slightly likely,Slightly likely,Slightly likely,Slightly likely,Slightly likely,Slightly likely,Quite likely,Slightly likely,Slightly likely,Slightly likely,Slightly likely,Slightly likely,Slightly likely,Slightly likely,Slightly likely,The ability to go straight to certain chapters.,Nothing,No.,01/03/2023 11:38:37,I confirm,High-school level,Native speaker,Multiple times a day,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,I confirm,I confirm,I confirm,I searched my user ID number AND I am ready to use the platform.,Read the instructions FIRST,Submit this form,Go to Semantic Chapter and try to find what you were asked before,"Click the ""Get started"" in the next survey once I finish my searches"
5b5523d6d8348500012cfccf,01/03/2023 14:56:09,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,1,0,0,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Quite likely,Quite likely,Quite likely,Quite likely,Extremely likely,Extremely likely,Extremely likely,The concepts gave answers quickly,"Sometimes concepts and chapters didn't immediate give the full or good answer, so I had to dig through and try to find things relating to the question which might help and took a lot of time.",No further comments,01/03/2023 14:35:03,I confirm,No knowledge,Native speaker,Multiple times a day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,I confirm,I confirm,I confirm,I searched my user ID number AND I am ready to use the platform.,Read the instructions FIRST,Submit this form,Go to Semantic Chapter and try to find what you were asked before,"Click the ""Get started"" in the next survey once I finish my searches"
5c573e54e9813700018acc31,01/03/2023 14:07:11,0,0,0,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Quite likely,Having autocompletion and association of concepts to scientific documents and people.,"Short definition of concepts, could be a bit more long and from there suggest other related concepts","No, thank you.",01/03/2023 13:55:24,I confirm,High-school level,Advanced,Multiple times a day,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,I confirm,I confirm,I confirm,I searched my user ID number AND I am ready to use the platform.,Read the instructions FIRST,Submit this form,Go to Semantic Chapter and try to find what you were asked before,"Click the ""Get started"" in the next survey once I finish my searches"
5cab6f4962c2a80001ca3efd,01/03/2023 08:26:59,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,Quite likely,Quite likely,Quite likely,Extremely likely,Extremely likely,Quite likely,Extremely likely,Quite likely,Quite likely,Quite likely,Extremely likely,Extremely likely,Quite likely,Quite likely,Quite likely,I liked that I was able to search for a term and then go directly to the book where the search term is from so I could read more about it,"I did not really like that Semantic Chapter has the 4 columns of results with concepts, people, organizations, etc. I think it would be easier to use and understand if there were less columns of results.",This was an interesting study,01/03/2023 08:20:18,I confirm,Bachelor education,Native speaker,Multiple times a day,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,0,I confirm,I confirm,I confirm,I searched my user ID number AND I am ready to use the platform.,Read the instructions FIRST,Go to Semantic Chapter and try to find what you were asked before,Submit this form,"Click the ""Get started"" in the next survey once I finish my searches"
5cdeaeb3557fbd00018a2c59,01/03/2023 14:33:14,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Quite likely,Slightly likely,Quite likely,Slightly likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Quite likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Extremely likely,Being able to quickly expand infos.,Not being able to expand on people.,Thank you for the opportunity!,01/03/2023 14:20:02,I confirm,No knowledge,Advanced,Multiple times a day,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,I confirm,I confirm,I confirm,I searched my user ID number AND I am ready to use the platform.,Read the instructions FIRST,Submit this form,Go to Semantic Chapter and try to find what you were asked before,"Click the ""Get started"" in the next survey once I finish my searches"
5d12ce9596919a0019367dd4,01/03/2023 14:43:08,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,Slightly unlikely,Slightly likely,Neither likely or unlikely,Slightly likely,Slightly likely,Slightly likely,Quite likely,Quite likely,Slightly likely,Neither likely or unlikely,Slightly likely,Slightly likely,Slightly likely,Slightly likely,Slightly likely,easy to search and drill down,"seemed busy, a lot of information",i could not remember all 15 questions,01/03/2023 14:32:43,I confirm,High-school level,Native speaker,Multiple times a day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,I confirm,I confirm,I confirm,I searched my user ID number AND I am ready to use the platform.,Read the instructions FIRST,Go to Semantic Chapter and try to find what you were asked before,Submit this form,"Click the ""Get started"" in the next survey once I finish my searches"
